audiobook_id,categories,rating_overall,rating_performance,rating_story
,Politics & Social Sciences,4.8,4.8,4.8
,Science Fiction & Fantasy,4.9,5.0,4.9
,"Mystery, Thriller & Suspense",4.5,4.7,4.5
,Teen & Young Adult,4.8,4.9,4.8
,Biographies & Memoirs,4.8,4.8,4.8
,Biographies & Memoirs,4.6,4.6,4.6
,"Mystery, Thriller & Suspense",4.8,4.9,4.7
,Literature & Fiction,4.8,4.8,4.7
,Health & Wellness,4.8,4.8,4.8
,Literature & Fiction,4.6,4.8,4.6
,Science Fiction & Fantasy,4.9,4.9,4.9
,History,4.6,4.6,4.6
,Science Fiction & Fantasy,4.9,4.9,4.8
,"Relationships, Parenting & Personal Development",4.8,4.8,4.8
,Business & Careers,4.6,4.6,4.6
,"Relationships, Parenting & Personal Development",4.5,4.6,4.5
,Romance,4.9,5.0,4.9
,Biographies & Memoirs,4.7,4.6,4.7
,Science Fiction & Fantasy,4.8,5.0,4.8
,History,4.7,4.8,4.7
,Literature & Fiction,4.6,4.8,4.6
,Science Fiction & Fantasy,4.6,4.8,4.6
,History,4.7,4.7,4.8
,Science Fiction & Fantasy,4.9,5.0,4.9
,Biographies & Memoirs,4.4,4.5,4.4
,Literature & Fiction,4.6,4.7,4.5
,Teen & Young Adult,4.9,4.9,4.9
,Literature & Fiction,4.6,4.7,4.6
,"Relationships, Parenting & Personal Development",4.8,4.8,4.8
,Literature & Fiction,4.8,4.8,4.8
,Religion & Spirituality,4.9,4.9,4.9
,Politics & Social Sciences,4.7,4.6,4.6
,Education & Learning,4.8,4.8,4.8
,Science Fiction & Fantasy,4.8,4.9,4.7
,Science Fiction & Fantasy,4.3,4.5,4.1
,Teen & Young Adult,4.4,4.7,4.3
,Romance,4.6,4.8,4.4
,Science Fiction & Fantasy,4.6,4.8,4.6
,Science Fiction & Fantasy,4.4,4.6,4.4
,Biographies & Memoirs,4.6,4.8,4.6
,"Mystery, Thriller & Suspense",4.6,4.8,4.6
,Religion & Spirituality,4.9,4.9,4.9
,Literature & Fiction,4.8,4.9,4.8
,"Relationships, Parenting & Personal Development",4.6,4.6,4.6
,Politics & Social Sciences,4.7,4.7,4.7
,"Relationships, Parenting & Personal Development",4.8,4.8,4.8
,History,4.8,4.9,4.8
,Literature & Fiction,4.8,4.8,4.8
,Religion & Spirituality,4.9,4.9,5.0
,Politics & Social Sciences,4.9,4.7,4.8
,Business & Careers,4.6,4.6,4.5
,"Mystery, Thriller & Suspense",4.7,4.8,4.7
,"Mystery, Thriller & Suspense",4.3,4.7,4.2
,Science Fiction & Fantasy,4.9,4.9,4.9
,Literature & Fiction,4.7,4.8,4.7
,Health & Wellness,4.2,4.0,4.3
